MVP,MPG,TS%,ASTR,USG,ORR,DRR,REBR,PER,VA,EWA,PPG,ORPG,DRPG,REB,RPG,RP48,FGMPG,FGAPG,FGM,2P%,PPS,ADJFG%,FTMPG,FTAPG,FTM,FT%,3PMPG,3PAPG,3PTM,3P%,AST,APG,AP48M,AST/TO,STL,STPG,STP48M,ST/PF,BLK,BLKPG,BLKP48M,BLK/PF,DBLDBL,TRIDBL
0,35.7,0.56,22.4,26.3,1.8,11.8,6.9,20.79,427.6,14.3,21,0,0,0,0,0,7.2,16.6,590,0.5,1.26,0.506,4.2,4.9,344,0.864,2.4,7,196,0.343,507,6.2,8.3,2.28,97,1.18,1.59,0.59,0,0,0,0,6,0
0,30.5,0.566,29.4,25.2,1.6,7.7,4.7,20.64,320.5,10.7,0,0,0,0,0,0,5.6,12.2,408,0.496,1.31,0.5,3.8,4.4,275,0.862,0,0,0,0,513,7,11.1,2.5,125,1.71,2.69,0.9,0,0,0,0,10,0
0,25.8,0.58,20.6,31.3,2.1,7.7,4.9,20.63,248.1,8.3,16.4,0,0,0,0,0,0,0,0,0,0,0,4.5,5.2,302,0.868,1.9,5,129,0.373,284,4.2,7.9,1.99,0,0,0,0,0,0,0,0,0,0
0,26.2,0.623,4.2,17.3,11.8,26.3,19.1,20.6,312.9,10.4,0,2.7,6,693,8.7,15.9,4.7,8.2,373,0.573,1.48,0.572,2.7,3.5,217,0.786,0,0,0,0,0,0,0,0,0,0,0,0,95,1.19,2.18,0.43,22,0
0,19.3,0.66,8.4,13.9,0,0,0,20.44,193.3,6.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,1.25,3.11,0.92,0,0
0,21.1,0.595,6.5,23.2,9.8,20.4,15,20.4,182.2,6.1,0,1.9,3.7,329,5.6,12.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,28.5,0.564,4.5,22.2,14.7,20.5,17.6,20.36,310.9,10.4,0,3.7,5.3,671,8.9,15.1,6.4,12.4,482,0.528,1.25,0.528,2.4,3.1,183,0.782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0
0,34.4,0.567,17.3,25.4,2.4,14,8.2,20.24,380.6,12.7,19.3,0,0,0,0,0,6.4,14.3,484,0.481,1.35,0.5,4.9,6.1,375,0.812,1.6,4,120,0.364,313,4.1,5.7,1.52,108,1.42,1.98,0.82,0,0,0,0,0,0
0,30.5,0.697,11.3,11.9,14.1,27.4,20.7,20.12,324.7,10.8,0,3.9,7.6,864,11.5,18.1,0,0,0,0,0,0,2.5,3.4,185,0.72,0,0,0,0,0,0,0,0,0,0,0,0,91,1.21,1.91,0.54,31,0
0,32.7,0.565,15.2,22.1,6.9,20,13.6,20.1,306.8,10.2,16.7,1.9,5.9,570,7.8,11.4,6.1,12.7,443,0.513,1.31,0.518,3.5,4.6,255,0.757,0,0,0,0,223,3.1,4.5,1.34,130,1.78,2.61,0.65,0,0,0,0,15,0
